"GIS key",Species,Behavior,Count
CAC19870506F197,CAGU,1,1
CAC19870506F200,WEGU,1,1
CAC19870506F200,CAGU,3,1
CAC19870506F204,BOGU,1,1
CAC19870506F206,CAGU,1,2
CAC19870506F206,UNPH,1,11
CAC19870506F206,RNPH,2,2
CAC19870506F207,WEGU,1,1
CAC19870506F212,RNPH,1,5
CAC19870506F212,WEGU,1,1
CAC19870506F213,CAAU,1,3
CAC19870506F213,UNBI,1,3
CAC19870506F213,RIDO,2,6
CAC19870506F213,UNPH,2,4
CAC19870506F213,WEGU,4,1
CAC19870506F215,RNPH,1,6
CAC19870506F215,UNPH,1,10
CAC19870506F215,WEGU,1,1
CAC19870506F216,UNCO,1,1
CAC19870506F217,UNGU,1,1
CAC19870507F221,UNWH,6,1
CAC19870507F222,CASL,2,1
CAC19870507F222,RNPH,2,1
CAC19870507F223,UNWH,2,2
CAC19870507F224,WEGU,1,1
CAC19870507F225,SOSH,3,1
CAC19870507F228,WEGU,1,2
CAC19870507F229,REPH,2,150
CAC19870507F230,MOLA,2,5
CAC19870507F235,BLSH,2,1
CAC19870507F237,LTJA,1,1
CAC19870507F237,WEGU,1,1
CAC19870507F237,REPH,2,70
CAC19870507F237,RNPH,2,30
CAC19870507F238,REPH,2,30
CAC19870507F238,RNPH,2,10
CAC19870507F239,BFAL,4,1
CAC19870507F242,SOSH,1,1
CAC19870507F250,REPH,2,2
CAC19870507F253,UNSP,1,1
CAC19870507F260,BRSP,1,1
CAC19870507F265,UNSP,1,3
CAC19870507F266,UNSP,1,1
CAC19870508F270,CODO,2,10
CAC19870508F270,UNDO,2,1
CAC19870508F271,BFAL,4,2
CAC19870508F272,COPE,1,2
CAC19870508F272,UNSP,1,1
CAC19870508F272,CODO,2,2
CAC19870508F272,CODO,4,10
CAC19870508F272,CODO,6,20
CAC19870508F273,COPE,1,1
CAC19870508F280,COPE,1,1
CAC19870508F280,UNSP,1,2
CAC19870508F284,UNPC,1,1
CAC19870508F284,KIWH,6,1
CAC19870508F285,BRSP,1,2
CAC19870508F286,LHSP,1,1
CAC19870508F288,HUWH,2,1
CAC19870508F288,SPWH,2,1
CAC19870508F289,COPE,1,1
CAC19870508F290,COPE,1,1
CAC19870508F293,UNSP,1,1
CAC19870508F293,COPE,4,2
CAC19870508F297,COPE,1,1
CAC19870508F297,REPH,1,1
CAC19870508F298,UNSP,1,1
CAC19870508F299,UNSP,1,1
CAC19870508F305,REPH,1,1
CAC19870508F307,COPE,1,1
CAC19870508F309,UNSP,1,1
CAC19870508F309,REPH,2,4
CAC19870508F311,COPE,1,1
CAC19870508F314,LHSP,1,3
CAC19870508F315,LHSP,1,1
CAC19870508F316,REPH,3,1
CAC19870508F320,UNSP,1,1
CAC19870508F322,COPE,1,1
CAC19870508F323,UNSP,1,2
CAC19870508F324,BRSP,1,1
CAC19870508F326,LHSP,3,1
CAC19870509F331,CODO,2,15
CAC19870509F331,LHSP,3,3
CAC19870509F332,LHSP,1,1
CAC19870509F335,UNSP,1,1
CAC19870509F336,LHSP,1,1
CAC19870509F337,LHSP,1,1
CAC19870509F339,LHSP,1,2
CAC19870509F339,UNPC,1,1
CAC19870509F339,REPH,2,4
CAC19870509F339,SOSH,2,1
CAC19870509F340,REPH,2,1
CAC19870509F341,COPE,1,1
CAC19870509F343,LHSP,3,10
CAC19870509F344,UNSP,1,1
CAC19870509F345,LHSP,3,1
CAC19870509F346,LHSP,1,1
CAC19870509F346,POJA,1,1
CAC19870509F346,WRSP,1,1
CAC19870509F347,UNSP,1,1
CAC19870509F347,WRSP,3,1
CAC19870509F350,LHSP,1,1
CAC19870509F350,UNJA,1,1
CAC19870509F354,REPH,2,1
CAC19870509F354,BFAL,4,1
CAC19870509F355,LHSP,1,1
CAC19870509F363,REPH,1,2
CAC19870509F367,LHSP,1,3
CAC19870509F367,LHSP,3,1
CAC19870509F368,LHSP,1,1
CAC19870509F368,UNSP,1,1
CAC19870510F381,GUMU,2,2
CAC19870510F382,BRPE,1,4
CAC19870510F382,WEGU,1,1
CAC19870510F382,BRAC,2,9
CAC19870510F382,WEGU,2,3
CAC19870510F383,BRPE,1,1
CAC19870510F383,CAGU,1,1
CAC19870510F383,CATE,1,1
CAC19870510F383,WEGU,1,5
CAC19870510F383,WEGU,2,1
CAC19870510F384,BRAC,1,2
CAC19870510F384,WEGU,1,1
CAC19870510F384,RNPH,2,12
CAC19870510F384,GUMU,2,2
CAC19870510F385,CAAU,1,9
CAC19870510F387,SUSC,1,2
CAC19870510F387,WEGU,1,2
CAC19870510F387,GUMU,2,6
CAC19870510F388,PIGU,1,2
CAC19870510F388,UNCO,1,3
CAC19870510F388,PECO,2,1
CAC19870510F389,BRAC,1,4
CAC19870510F389,BRPE,1,2
CAC19870510F389,WEGU,1,3
CAC19870510F389,RNPH,2,5
CAC19870510F389,WEGU,2,1
CAC19870510F389,GUMU,2,1
CAC19870510F390,WEGU,1,2
CAC19870510F390,CASL,2,1
CAC19870510F391,WEGU,1,1
CAC19870510F392,WEGU,1,2
CAC19870510F392,GUMU,2,2
CAC19870510F393,CAAU,1,1
CAC19870510F393,WEGU,1,3
CAC19870510F393,CASL,2,1
CAC19870510F393,WEGU,2,1
CAC19870510F394,CAAU,2,9
CAC19870510F394,RNPH,2,6
CAC19870510F394,WEGU,2,1
CAC19870510F394,GUMU,2,4
CAC19870510F394,DAPO,4,2
CAC19870510F395,WEGU,1,2
CAC19870510F395,BRPE,2,6
CAC19870510F395,CAAU,2,3
CAC19870510F395,WEGU,2,35
CAC19870510F395,GUMU,2,2
CAC19870510F396,BRPE,1,1
CAC19870510F396,WEGU,1,4
CAC19870510F396,WEGU,2,1
CAC19870510F397,WEGU,1,6
CAC19870510F398,WEGU,1,1
CAC19870510F399,WEGU,1,2
CAC19870510F400,WEGU,1,2
CAC19870510F400,WEGU,2,1
CAC19870510F401,WEGU,1,1
CAC19870510F402,WEGU,1,2
CAC19870510F403,UNPH,2,3
CAC19870510F404,RNPH,1,10
CAC19870510F404,WEGU,1,1
CAC19870510F404,RNPH,2,70
CAC19870510F406,BRPE,1,1
CAC19870510F406,WEGU,1,1
CAC19870510F407,RNPH,1,15
CAC19870510F407,RNPH,2,1
CAC19870510F407,WEGU,4,1
CAC19870510F408,WEGU,4,2
CAC19870510F409,RNPH,1,15
CAC19870510F409,WEGU,1,1
CAC19870510F410,WEGU,1,1
CAC19870510F411,WEGU,1,2
CAC19870510F412,CAAU,1,1
CAC19870510F412,RNPH,1,15
CAC19870510F412,WEGU,1,2
CAC19870510F413,RNPH,2,8
CAC19870510F414,WEGU,1,1
CAC19870510F415,BRPE,1,2
CAC19870510F416,CAGU,1,1
CAC19870510F416,WEGU,1,1
CAC19870510F417,GUMU,2,2
CAC19870510F418,BRPE,1,8
CAC19870510F420,GUMU,2,2
CAC19870510F421,WEGU,1,4
CAC19870510F423,WEGU,1,1
CAC19870510F424,CASL,6,1
CAC19870511F426,LTJA,1,1
CAC19870511F426,RHAU,1,1
CAC19870511F426,SOSH,1,1
CAC19870511F427,SOSH,1,2
CAC19870511F428,LTJA,1,1
CAC19870511F429,BFAL,2,1
CAC19870511F432,UNPI,2,1
CAC19870511F442,DAPO,4,2
CAC19870511F446,MUPE,1,1
CAC19870511F447,LTJA,4,1
CAC19870511F448,LHSP,1,1
CAC19870511F449,SOSH,2,1
CAC19870511F450,CASL,2,1
CAC19870511F451,DAPO,2,3
CAC19870511F451,DAPO,4,2
CAC19870511F452,LHSP,1,2
CAC19870511F453,LHSP,1,2
CAC19870511F454,WRSP,1,1
CAC19870511F455,MUPE,1,1
CAC19870511F455,UNSP,1,1
CAC19870511F456,LHSP,1,1
CAC19870511F458,LHSP,1,1
CAC19870511F458,UNSP,1,1
CAC19870511F459,LHSP,1,1
CAC19870511F459,LHSP,2,8
CAC19870511F460,LHSP,1,2
CAC19870511F461,LHSP,1,1
CAC19870511F461,WRSP,1,1
CAC19870511F463,LHSP,1,2
CAC19870511F463,REPH,2,12
CAC19870511F464,UNSP,1,1
CAC19870511F464,WRSP,1,1
CAC19870511F465,LHSP,1,1
CAC19870511F465,LHSP,3,3
CAC19870511F468,REPH,2,5
CAC19870511F469,REPH,1,3
CAC19870511F471,UNSP,3,1
CAC19870511F473,UNSP,3,1
CAC19870511F474,REPH,1,12
CAC19870512F475,BFAL,1,1
CAC19870512F476,LHSP,1,1
CAC19870512F481,COPE,1,1
CAC19870512F481,LHSP,1,1
CAC19870512F482,BFAL,1,1
CAC19870512F486,LHSP,1,2
CAC19870512F488,MUPE,1,1
CAC19870512F493,LHSP,1,1
CAC19870512F496,BFAL,1,1
CAC19870512F496,SOSH,4,1
CAC19870512F501,MUPE,1,1
CAC19870512F501,UNSP,1,1
CAC19870512F509,MUPE,1,1
CAC19870513F512,LHSP,1,1
CAC19870513F513,SOSH,1,1
CAC19870513F514,SOSH,2,3
CAC19870513F515,SOSH,1,1
CAC19870513F516,MUPE,1,1
CAC19870513F516,SOSH,1,2
CAC19870513F516,SOSH,2,4
CAC19870513F517,PFSH,1,1
CAC19870513F517,SOSH,1,1
CAC19870513F517,SOSH,2,2
CAC19870513F518,NOFU,1,1
CAC19870513F519,CASL,2,1
CAC19870513F520,UNPC,1,1
CAC19870513F522,SPSK,1,1
CAC19870513F522,BFAL,4,1
CAC19870513F523,POJA,1,1
CAC19870513F524,SOSH,1,88
CAC19870513F524,POJA,2,1
CAC19870513F525,SOSH,1,5
CAC19870513F526,PFSH,1,1
CAC19870513F526,SOSH,1,38
CAC19870513F526,NESE,2,1
CAC19870513F526,SOSH,2,366
CAC19870513F526,SOSH,3,3
CAC19870513F527,SOSH,1,1
CAC19870513F528,SOSH,1,8
CAC19870513F528,UNAL,1,1
CAC19870513F528,SOSH,2,7
CAC19870513F529,SOSH,1,2
CAC19870513F529,SOSH,2,5
CAC19870513F530,CAAU,1,1
CAC19870513F530,SOSH,2,2
CAC19870513F531,SOSH,1,2
CAC19870513F532,SOSH,1,3
CAC19870513F532,CAAU,2,1
CAC19870513F532,CASL,6,10
CAC19870513F533,SOSH,1,3
CAC19870513F533,SOSH,2,8
CAC19870513F534,WEGU,1,1
CAC19870513F534,SHAR,2,2
CAC19870513F534,SOSH,2,12
CAC19870513F535,SAGU,1,1
CAC19870513F535,SOSH,1,5
CAC19870513F535,BLWH,2,2
CAC19870513F536,SOSH,1,3
CAC19870513F536,CASL,2,1
CAC19870513F536,REPH,2,4
CAC19870513F536,SOSH,2,2
CAC19870513F536,UNAL,2,2
CAC19870513F537,CAAU,1,2
CAC19870513F537,CAAU,2,3
CAC19870513F537,RHAU,2,1
CAC19870513F537,SOSH,2,1
CAC19870513F537,SOSH,3,3
CAC19870513F537,WEGU,3,4
CAC19870513F537,BFAL,4,1
CAC19870513F538,CAAU,1,1
CAC19870513F538,SOSH,1,2
CAC19870513F538,CAAU,2,4
CAC19870513F538,CASL,2,1
CAC19870513F539,CAAU,2,1
CAC19870513F539,SOSH,2,6
CAC19870513F540,CAAU,1,2
CAC19870513F540,CAGU,1,3
CAC19870513F540,SOSH,1,18
CAC19870513F540,MOLA,2,1
CAC19870513F540,SOSH,2,16
CAC19870513F540,CAGU,4,1
CAC19870513F541,BRPE,1,4
CAC19870513F541,CAGU,1,1
CAC19870513F541,SOSH,1,15
CAC19870513F541,CAAU,2,5
CAC19870513F541,RNPH,2,3
CAC19870513F542,CAAU,1,1
CAC19870513F542,SOSH,1,7
CAC19870513F542,CAAU,2,2
CAC19870513F542,RNPH,2,3
CAC19870513F542,SOSH,2,40
CAC19870513F543,CAAU,1,1
CAC19870513F543,SOSH,1,13
CAC19870513F543,BRPE,2,1
CAC19870513F543,CAAU,2,8
CAC19870513F543,RNPH,2,4
CAC19870513F543,SOSH,2,30
CAC19870513F544,BRPE,1,1
CAC19870513F544,CAGU,1,2
CAC19870513F544,SOSH,1,254
CAC19870513F544,WEGU,1,1
CAC19870513F544,BRPE,2,1
CAC19870513F544,CAAU,2,3
CAC19870513F544,RNPH,2,2
CAC19870513F544,BRPE,3,6
CAC19870513F544,RNPH,3,30
CAC19870513F544,SOSH,3,600
CAC19870513F545,CAGU,1,1
CAC19870513F545,SOSH,1,7
CAC19870513F545,CAAU,2,3
CAC19870513F545,RNPH,2,18
CAC19870513F545,SOSH,2,3
CAC19870513F546,ARLO,1,1
CAC19870513F546,CAGU,1,1
CAC19870513F546,SOSH,1,2
CAC19870513F546,WEGU,1,1
CAC19870513F546,BRPE,2,2
CAC19870513F546,CAGU,2,5
CAC19870513F546,RNPH,2,19
CAC19870513F546,SOSH,2,12
CAC19870513F547,BRAC,1,1
CAC19870513F547,BRPE,1,6
CAC19870513F547,CAGU,1,2
CAC19870513F547,HERG,1,1
CAC19870513F547,SOSH,1,1
CAC19870513F547,WEGU,1,1
CAC19870513F547,CASL,2,4
CAC19870513F547,RNPH,2,17
CAC19870513F548,CAGU,1,1
CAC19870513F548,WEGU,1,1
CAC19870513F548,CAAU,2,4
CAC19870513F548,CAGU,2,1
CAC19870513F548,SOSH,2,11
CAC19870513F549,BRPE,1,9
CAC19870513F549,CAGU,1,2
CAC19870513F549,PFSH,1,1
CAC19870513F549,WEGU,1,1
CAC19870513F549,BRPE,2,2
CAC19870513F549,CAAU,2,2
CAC19870513F549,CASL,2,1
CAC19870513F549,MOLA,2,1
CAC19870513F549,SOSH,2,15
CAC19870513F550,BRPE,1,2
CAC19870513F550,CAGU,1,1
CAC19870513F550,SOSH,1,4
CAC19870513F550,WEGU,1,1
CAC19870513F550,CASL,6,2
CAC19870904F551,RNPH,2,2
CAC19870905F554,PFSH,1,2
CAC19870905F554,SOSH,1,1
CAC19870905F554,WEGU,1,1
CAC19870905F555,PFSH,1,3
CAC19870905F555,PWSD,6,10
CAC19870905F556,BULS,1,1
CAC19870905F556,PFSH,1,1
CAC19870905F556,WEGU,1,1
CAC19870905F556,PWSD,4,6
CAC19870905F556,WEGU,4,1
CAC19870905F558,CODO,2,25
CAC19870905F558,CODO,6,2
CAC19870905F559,PFSH,1,3
CAC19870905F559,WEGU,1,1
CAC19870905F559,WEGU,4,1
CAC19870905F560,BRPE,1,3
CAC19870905F562,WEGU,1,1
CAC19870905F562,MOLA,2,1
CAC19870905F563,UNPH,2,2
CAC19870905F565,UNMU,1,1
CAC19870905F565,WEGU,1,1
CAC19870905F566,BRPE,1,1
CAC19870905F566,MOLA,2,1
CAC19870905F566,UNTE,3,4
CAC19870905F567,WEGU,4,2
CAC19870905F568,UNPH,1,3
CAC19870905F568,WEGU,2,2
CAC19870905F569,WEGU,4,5
CAC19870905F570,WEGU,2,1
CAC19870905F570,WEGU,4,2
CAC19870905F571,ARTE,1,1
CAC19870905F572,BLSP,1,1
CAC19870905F572,WEGU,1,2
CAC19870905F572,MOLA,2,1
CAC19870905F572,WEGU,4,1
CAC19870905F573,UNJA,1,1
CAC19870905F573,WEGU,1,1
CAC19870905F574,WEGU,1,1
CAC19870905F575,WEGU,4,1
CAC19870905F576,WEGU,1,1
CAC19870905F577,ARTE,1,4
CAC19870905F577,WEGU,1,1
CAC19870905F578,WEGU,1,1
CAC19870905F578,ARTE,2,2
CAC19870905F578,MOLA,2,4
CAC19870905F579,CASL,2,1
CAC19870905F580,UNJA,1,1
CAC19870906F583,BULS,1,1
CAC19870906F584,LHSP,1,1
CAC19870906F592,UNSP,1,1
CAC19870906F593,ARTE,1,2
CAC19870906F594,LHSP,1,1
CAC19870906F595,LHSP,1,1
CAC19870906F595,UNSP,1,1
CAC19870906F596,LHSP,1,1
CAC19870906F596,UNSP,1,2
CAC19870906F596,LHSP,3,1
CAC19870906F598,UNSP,1,1
CAC19870906F600,LHSP,1,1
CAC19870906F601,LHSP,1,2
CAC19870906F601,UNSP,1,1
CAC19870906F602,LHSP,1,2
CAC19870906F602,LHSP,3,2
CAC19870906F603,LHSP,1,1
CAC19870906F603,UNSP,1,1
CAC19870906F604,LHSP,1,2
CAC19870906F606,LHSP,1,4
CAC19870906F608,LHSP,1,3
CAC19870906F609,LHSP,1,2
CAC19870906F610,UNSP,1,1
CAC19870906F611,LHSP,1,1
CAC19870906F613,LHSP,1,5
CAC19870906F615,LHSP,1,1
CAC19870906F616,LHSP,3,4
CAC19870906F617,UNBI,1,1
CAC19870906F621,LHSP,1,1
CAC19870907F630,LHSP,1,1
CAC19870907F644,REPH,2,1
CAC19870907F650,COPE,1,1
CAC19870907F652,COPE,1,1
CAC19870907F653,COPE,1,3
CAC19870907F654,LHSP,1,1
CAC19870907F654,UNSP,1,1
CAC19870907F655,LHSP,1,1
CAC19870907F657,COPE,2,1
CAC19870907F663,COPE,1,3
CAC19870908F672,LHSP,1,1
CAC19870908F672,SOSH,1,1
CAC19870908F673,UNSP,1,1
CAC19870908F676,COPE,1,1
CAC19870908F678,UNSP,1,1
CAC19870908F679,LHSP,1,1
CAC19870908F680,LHSP,1,1
CAC19870908F683,COPE,1,1
CAC19870908F683,UNTR,2,1
CAC19870908F684,SOSH,1,1
CAC19870908F694,RBTR,2,1
CAC19870908F698,RBTR,2,1
CAC19870908F699,COPE,1,1
CAC19870908F700,REPH,1,1
CAC19870908F700,SOSH,1,1
CAC19870908F702,LHSP,1,1
CAC19870908F705,LTJA,1,2
CAC19870908F706,LHSP,2,3
CAC19870908F708,RBTR,1,2
CAC19870908F710,LTJA,1,1
CAC19870908F713,SOSH,1,1
CAC19870909F717,LHSP,1,2
CAC19870909F718,LTJA,3,1
CAC19870909F720,LHSP,1,1
CAC19870909F721,UNDO,6,1
CAC19870909F722,LHSP,1,1
CAC19870909F724,LHSP,1,1
CAC19870909F724,REPH,1,1
CAC19870909F725,LHSP,1,2
CAC19870909F730,LHSP,1,1
CAC19870909F731,LHSP,1,1
CAC19870909F732,LHSP,1,4
CAC19870909F733,LHSP,1,1
CAC19870909F734,LHSP,1,1
CAC19870909F735,UNWH,2,1
CAC19870909F737,LHSP,1,1
CAC19870909F740,LHSP,1,1
CAC19870909F741,LHSP,1,3
CAC19870909F742,MOLA,2,1
CAC19870909F745,RBTR,2,1
CAC19870909F747,MOLA,2,4
CAC19870909F749,LHSP,1,1
CAC19870909F749,MOLA,2,3
CAC19870909F750,LHSP,1,1
CAC19870909F752,PFSH,1,1
CAC19870909F753,MOLA,2,1
CAC19870909F756,UNSP,1,1
CAC19870909F756,BFAL,4,1
CAC19870909F758,PFSH,1,1
CAC19870909F758,UNSH,1,3
CAC19870909F758,UNTE,1,1
CAC19870909F760,PFSH,1,1
CAC19870909F760,CODO,4,15
CAC19870910F761,WEGU,1,1
CAC19870910F761,PWSD,2,10
CAC19870910F761,WEGU,2,1
CAC19870910F762,WEGU,1,1
CAC19870910F763,WEGU,1,4
CAC19870910F763,WEGU,2,2
CAC19870910F764,CAGU,4,1
CAC19870910F766,WEGU,1,1
CAC19870910F766,MOLA,2,2
CAC19870910F767,MOLA,2,4
CAC19870910F768,BLSP,1,1
CAC19870910F769,WEGU,2,2
CAC19870910F770,MOLA,2,1
CAC19870910F771,MOLA,2,4
CAC19870910F772,WEGU,1,1
CAC19870910F775,WEGU,1,1
CAC19870910F776,POJA,2,2
CAC19870910F776,WEGU,2,1
CAC19870910F777,PAJA,1,1
CAC19870910F777,WEGU,1,1
CAC19870910F777,UNTU,2,1
CAC19870910F777,PWSD,4,50
CAC19870911F779,BRPE,1,2
CAC19870911F779,RNPH,1,1
CAC19870911F779,UNSP,1,1
CAC19870911F779,WEGU,1,5
CAC19870911F779,RNPH,2,2
CAC19870911F779,UNPH,2,3
CAC19870911F780,ASSP,1,1
CAC19870911F780,BLSP,1,3
CAC19870911F780,BRPE,1,3
CAC19870911F781,WEGU,1,1
CAC19870911F782,BLSP,1,1
CAC19870911F782,BRPE,1,3
CAC19870911F782,WEGU,1,1
CAC19870911F783,BLSP,1,3
CAC19870911F783,RNPH,2,6
CAC19870911F783,WEGU,2,3
CAC19870911F783,BLSP,3,10
CAC19870911F784,BLSP,1,1
CAC19870911F784,DCCO,1,1
CAC19870911F785,BLSP,1,2
CAC19870911F787,BRPE,1,3
CAC19870911F789,UNTE,1,1
CAC19870911F789,MOLA,2,1
CAC19870911F790,BRPE,1,1
CAC19870911F790,DCCO,1,1
CAC19870911F790,POJA,1,1
CAC19870911F790,UNGU,1,1
CAC19870911F790,WEGU,1,3
CAC19870911F790,WEGU,2,3
CAC19870911F791,DCCO,2,1
CAC19870911F791,WEGU,2,2
CAC19870911F792,WEGU,1,1
CAC19870911F793,WEGU,1,2
CAC19870911F796,UNGU,1,1
CAC19870911F797,BRPE,1,3
CAC19870911F797,SOSH,1,1
CAC19870911F798,BULS,1,1
CAC19870911F798,WEGU,1,4
CAC19870911F799,UNSH,1,1
CAC19870911F799,UNTE,1,1
CAC19870911F800,PFSH,1,2
CAC19870911F800,UNSH,1,1
CAC19870911F800,WEGU,1,1
CAC19870911F801,PFSH,1,2
CAC19870911F801,UNTE,1,2
CAC19870911F802,PFSH,1,1
CAC19870911F802,WEGU,4,1
CAC19870912F803,SOSH,1,1
CAC19870912F803,UNTE,1,1
CAC19870912F803,CODO,2,6
CAC19870912F803,WEGU,4,1
CAC19870912F806,UNTE,1,1
CAC19870912F809,ARTE,1,1
CAC19870912F813,UNPH,1,1
CAC19870912F818,LTJA,1,1
CAC19870912F819,UNJA,1,1
CAC19870912F819,UNWH,2,1
CAC19870912F820,ARTE,1,1
CAC19870912F827,LTJA,1,1
CAC19870912F827,UNPI,2,1
